id,name,barcode,department,subcategory,price,on_sale,sale_price,sale_text,unit,is_new,image_file
"1229947","פיטנס פריכיות משולשות עם שוקולד לבן נסטלה 60 גרם","7290118422181","לחם מאפים ועוגיות","פריכיות","13.90","לא","0.00","","u","לא","פיטנס פריכיות משולשות עם שוקולד לבן נסטלה 60 גרם.jpg"
"1229959","פיטנס פריכיות משולשות עם שוקולד חלב נסטלה 60 גרם","7290118422204","לחם מאפים ועוגיות","פריכיות","13.90","לא","0.00","","u","לא","פיטנס פריכיות משולשות עם שוקולד חלב נסטלה 60 גרם.jpg"
"1229971","פריכיות כוסמת פרח 160 גרם","7296058000526","לחם מאפים ועוגיות","פריכיות","9.90","לא","0.00","","u","לא","פריכיות כוסמת פרח 160 גרם.jpg"
"1264944","מסטיק אורביט לל""ס מנטה בקבוקון כחול 64 גרם","4009900420129","חטיפים ודגנים","מסטיק ומרשמלו","12.90","לא","0.00","","u","לא","מסטיק אורביט ללס מנטה בקבוקון כחול 64 גרם.jpg"
"1264992","מסטיק אורביט לל""ס מנטה בקבוקון ירוק 64 גרם","4009900531122","חטיפים ודגנים","מסטיק ומרשמלו","12.90","לא","0.00","","u","לא","מסטיק אורביט ללס מנטה בקבוקון ירוק 64 גרם.jpg"
"1265040","תחליב רחצה בתוספת שמן קוקוס פינוק 700 מ""ל","7290112499462","מוצרי טיפוח ותינוקות","תחליב רחצה","15.90","לא","0.00","","u","לא","תחליב רחצה בתוספת שמן קוקוס פינוק 700 מל.jpg"
"1265184","תחליב רחצה ורדים לבנים פינוק 700 מ""ל","7290116533117","מוצרי טיפוח ותינוקות","תחליב רחצה","15.90","לא","0.00","","u","לא","תחליב רחצה ורדים לבנים פינוק 700 מל.jpg"
"1265425","ניו יורק גבינת שמנת כמהין 30% גד 200 גרם","7290017065731","מוצרי חלב וביצים","גבינת שמנת וגבינה מותכת","19.90","לא","0.00","","u","לא","ניו יורק גבינת שמנת כמהין 30% גד 200 גרם.jpg"
"1265438","ביסקוויט פתיבר קלאסי אסם 500 גרם","7290000074184","לחם מאפים ועוגיות","ביסקוויטים","14.90","לא","0.00","","u","לא","ביסקוויט פתיבר קלאסי אסם 500 גרם.jpg"
"1266180","מלפפונים בחומץ בינוני בית השיטה 560 גרם","7290113192485","שימורים ואפייה","שימורי מלפפונים","12.90","לא","0.00","","u","לא","מלפפונים בחומץ בינוני בית השיטה 560 גרם.jpg"
"1266196","מלפפונים במלח קטן בית השיטה 560 גרם","7290113192508","שימורים ואפייה","שימורי מלפפונים","14.90","לא","0.00","","u","לא","מלפפונים במלח קטן בית השיטה 560 גרם.jpg"
"1266212","מלפפונים במלח גדול בית השיטה 560 גרם","7290113192539","שימורים ואפייה","שימורי מלפפונים","10.90","כן","6.90","1 יח' ב-  6.90 ש""ח","u","לא","מלפפונים במלח גדול בית השיטה 560 גרם.jpg"
"1266228","מלפפונים במלח בלאדי קטן בית השיטה 560 גרם","7290113192553","שימורים ואפייה","שימורי מלפפונים","16.90","לא","0.00","","u","לא","מלפפונים במלח בלאדי קטן בית השיטה 560 גרם.jpg"
"1266244","מלפפונים בחומץ קטן בית השיטה 560 גרם","7290113192492","שימורים ואפייה","שימורי מלפפונים","12.90","לא","0.00","","u","לא","מלפפונים בחומץ קטן בית השיטה 560 גרם.jpg"
"1266292","מלפפונים במלח בינוני בית השיטה 560 גרם","7290113192478","שימורים ואפייה","שימורי מלפפונים","12.90","לא","0.00","","u","לא","מלפפונים במלח בינוני בית השיטה 560 גרם.jpg"
"1266340","קוקטייל טבעות זיתים בית השיטה 560 גרם","7290113193406","שימורים ואפייה","שימורי זיתים","18.90","לא","0.00","","u","לא","קוקטייל טבעות זיתים בית השיטה 560 גרם.jpg"
"1266452","זיתים ירוקים שלמים גדולים בית השיטה 560 גרם","7290113192331","שימורים ואפייה","שימורי זיתים","15.90","לא","0.00","","u","לא","זיתים ירוקים שלמים גדולים בית השיטה 560 גרם.jpg"
